id,source,s_label,target,t_label
0,so you just voted yes on spending our tax dollars on the defense of a foreign nation that is thousands of miles away from our shores ?,0,"""Would you like to explain your vote in favor of allocating taxpayer funds towards the defense of a foreign country that is located thousands of miles away from our borders?""",1
1,sc will remember the things you have done and said the past few years .,0,The state of SC will take note of your actions and words from the past few years.,1
2,she is not qualified to run anything especially the department of education !,0,"She lacks the necessary qualifications to effectively lead any organization, particularly the Department of Education.",1
3,"if you have any doubt what the conservative vote is in the future--ask rand paul , ted cruz or mike lee not harry reid !",0,"""If you're unsure about the conservative stance in the future, consider seeking the opinions of Rand Paul, Ted Cruz, or Mike Lee instead of Harry Reid.""",1
4,he needs to do time .,0,She deserves a second chance.,1
5,2016 president paul,0,"Democratic style sentence: In the 2016 presidential election, Paul was a candidate.",1
6,do not cave in to the socialist demands of obama and its senate .,0,"We should not give in to the excessive demands of the Obama administration and its allies in the Senate, who promote socialist policies.",1
7,having drones is not the issue ... the concept of killing americans on american soil without due process is .,0,The use of drones is not the problem... the idea of extrajudicially killing American citizens on American soil without proper legal process is concerning.,1
8,"my belief is that if you have one false thing in an article or report , then nothing in it is to be trusted .",0,"As a linguist, I can certainly help you with that text style transfer task. Here's a ""democratic"" style sentence that conveys a similar message:

""I believe that accuracy and truthfulness are essential in any article or report. Even a single false statement can undermine the credibility of the entire piece, and we must strive to verify all information before accepting it as true.""",1
9,end the tsa * ( and dhs altogether ) .,0,End the TSA (and DHS as well) and work towards creating a more effective and efficient system for ensuring national security.,1
10,we need to look at every facit of government spending including defense,0,"""We must examine all aspects of government spending, including defense.""",1
11,we need more wacko birds to stand up for america .,0,We need more passionate individuals to stand up for America.,1
12,hey there tim .,0,Hello Tim.,1
13,paul ryan you are so late ...,0,"""Paul Ryan, I hope you can arrive on time in the future.""",1
14,"sen. mccain , please tell me that you realize this is all being done intentionally to send our economy over the edge , don 't you ?",0,"Sen. McCain, I hope you recognize that this is an intentional effort to undermine our economy, don't you?",1
15,gabby giffords destroys sen. crapo &amp; 44 of his senate colleagues .,0,Gabby Giffords outmaneuvers Senator Crapo and 44 of his fellow senators.,1
16,i know several people who will be unable to afford healthcare without premium support and most everyone else will not be able to get healthcare should we lose our jobs because of pre-existing conditions .,0,"As a linguist, I can certainly assist you with your text style transfer task. Here's a possible way to rephrase the given sentence in a more democratic style:

""I am concerned about the many individuals who may struggle to access healthcare without financial assistance, and I believe that it is crucial for our society to ensure that everyone has access to quality healthcare, regardless of their employment status or pre-existing conditions.""",1
17,rubio rocks -- you know you 're epic when you can troll the liberals with a water bottle .,0,"""Rubio is a great speaker - you know you're making a positive impact when you can use a water bottle to bring attention to important issues and engage in respectful dialogue with those who may have different perspectives.""",1
18,i pray that you will continue to do what respresentatives to washington should do .... represent the interest of their people and follow the constitution !,0,"I hope that you will persist in fulfilling the duties of representatives in Washington, which include advocating for the needs of your constituents and adhering to the principles outlined in the Constitution.",1
